match_id,season,venue,innings,batting_team,bowling_team,toss_winner,toss_decision,match_winner,powerplay_runs,powerplay_wickets,powerplay_run_rate,powerplay_sixes,powerplay_fours,powerplay_dot_balls,powerplay_extras,final_total,total_wickets,total_sixes,total_fours,total_balls
1128833,2017/18,Dubai International Cricket Stadium,1,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Multan Sultans,41,0,6.83,1,5,19,2,183,3,11,11,123
1128833,2017/18,Dubai International Cricket Stadium,2,Peshawar Zalmi,Multan Sultans,Peshawar Zalmi,field,Multan Sultans,39,2,6.5,1,3,18,4,164,8,7,12,122
1128834,2017/18,Dubai International Cricket Stadium,1,Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,35,2,5.83,2,2,21,3,152,5,7,8,126
1128834,2017/18,Dubai International Cricket Stadium,2,Quetta Gladiators,Multan Sultans,Quetta Gladiators,field,Quetta Gladiators,46,0,7.67,0,9,23,5,156,8,5,15,122
1128835,2017/18,Dubai International Cricket Stadium,1,Lahore Qalandars,Islamabad United,Islamabad United,field,Islamabad United,49,0,8.17,2,3,15,3,163,8,8,9,126
1128835,2017/18,Dubai International Cricket Stadium,2,Islamabad United,Lahore Qalandars,Islamabad United,field,Islamabad United,59,1,9.83,4,5,14,2,164,4,11,9,112
1128836,2017/18,Dubai International Cricket Stadium,1,Quetta Gladiators,Karachi Kings,Karachi Kings,field,Quetta Gladiators,52,0,8.67,4,4,18,0,180,4,9,16,121
1128836,2017/18,Dubai International Cricket Stadium,2,Karachi Kings,Quetta Gladiators,Karachi Kings,field,Quetta Gladiators,32,3,5.33,1,4,23,0,113,8,2,7,122
1128837,2017/18,Dubai International Cricket Stadium,1,Multan Sultans,Lahore Qalandars,Multan Sultans,bat,Lahore Qalandars,54,0,9.0,1,10,17,0,114,10,2,13,119
1128837,2017/18,Dubai International Cricket Stadium,2,Lahore Qalandars,Multan Sultans,Multan Sultans,bat,Lahore Qalandars,47,3,7.83,0,9,18,0,115,4,2,13,113
1128838,2017/18,Dubai International Cricket Stadium,1,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,41,1,6.83,0,7,20,4,182,5,9,16,123
1128838,2017/18,Dubai International Cricket Stadium,2,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,field,Islamabad United,48,1,8.0,2,5,16,4,156,9,6,14,125
1128839,2017/18,Dubai International Cricket Stadium,1,Karachi Kings,Multan Sultans,Multan Sultans,field,Karachi Kings,32,1,5.33,0,3,18,4,188,3,7,16,124
1128839,2017/18,Dubai International Cricket Stadium,2,Multan Sultans,Karachi Kings,Multan Sultans,field,Karachi Kings,53,2,8.83,4,4,16,0,125,10,9,7,120
1128840,2017/18,Dubai International Cricket Stadium,1,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,37,1,6.17,2,2,17,1,157,5,10,10,121
1128840,2017/18,Dubai International Cricket Stadium,2,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,field,Quetta Gladiators,41,1,6.83,1,5,18,0,158,4,4,16,117
1128841,2017/18,Dubai International Cricket Stadium,1,Karachi Kings,Lahore Qalandars,Lahore Qalandars,field,No result,46,1,7.67,0,8,16,0,163,5,3,17,121
1128841,2017/18,Dubai International Cricket Stadium,2,Lahore Qalandars,Karachi Kings,Lahore Qalandars,field,No result,52,1,8.67,1,8,15,1,163,8,5,12,125
1128841,2017/18,Dubai International Cricket Stadium,3,Lahore Qalandars,Karachi Kings,Lahore Qalandars,field,No result,11,2,1.83,0,1,0,3,11,2,0,1,8
1128841,2017/18,Dubai International Cricket Stadium,4,Karachi Kings,Lahore Qalandars,Lahore Qalandars,field,No result,8,1,1.33,1,0,3,0,8,1,1,0,6
1128842,2017/18,Sharjah Cricket Stadium,1,Islamabad United,Multan Sultans,Multan Sultans,field,Islamabad United,54,1,9.0,3,6,16,2,185,4,8,18,125
1128842,2017/18,Sharjah Cricket Stadium,2,Multan Sultans,Islamabad United,Multan Sultans,field,Islamabad United,25,4,4.17,0,2,24,8,152,10,7,13,119
1128843,2017/18,Sharjah Cricket Stadium,1,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,52,1,8.67,2,6,15,2,186,4,10,16,124
1128843,2017/18,Sharjah Cricket Stadium,2,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,field,Lahore Qalandars,54,1,9.0,4,2,15,6,169,6,12,5,124
1128844,2017/18,Sharjah Cricket Stadium,1,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,bat,Peshawar Zalmi,31,1,5.17,2,2,21,2,181,6,14,10,121
